position0_particle0,position1_particle0,position2_particle0,position0_particle1,position1_particle1,position2_particle1,position0_particle2,position1_particle2,position2_particle2,position0_particle3,position1_particle3,position2_particle3,momentum0_particle0,momentum1_particle0,momentum2_particle0,momentum0_particle1,momentum1_particle1,momentum2_particle1,momentum0_particle2,momentum1_particle2,momentum2_particle2,momentum0_particle3,momentum1_particle3,momentum2_particle3,lambda0,lambda1,time,hamiltonian,hamiltonian_difference
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.176470588235294,0.0,0.0,0.0,1.1764705882352937,2.220446049250313e-16
-8.112022812175006e-12,1.0025493352477344e-12,7.356997862339633e-20,0.999999999991736,5.512810595087266e-07,3.2427636305003218e-09,2.9410699774039056e-05,0.999999999985258,1.730039460728031e-07,0.9999602090777677,0.9999990271706365,0.011764460241250666,-1.6224045624458512e-09,2.0050986705088316e-10,1.4713995724783908e-17,-1.65279658411038e-09,0.00011025621190199024,6.485527261015052e-07,0.0058821399548248535,-2.948393316798301e-09,3.4600789214660875e-05,-0.007958184446489821,-0.00019456587269741317,1.1764214600148386,-1.6224088835260957e-07,1.3529395000242164,0.01,1.176470588235294,1.5543122344752192e-15
-3.7163241874990176e-10,2.8621385338111793e-11,-1.4270404943361625e-18,0.9999999996071214,6.517960837883595e-06,9.556176429748477e-08,0.00011763733149064349,0.9999999997611966,1.0379731535811273e-06,0.9998408445815049,0.9999884980294591,0.02352780471776317,-7.108167462725154e-08,5.3232573336806266e-09,-3.1483609031931726e-16,-7.527014782553468e-08,0.0010830797437830302,1.781524740747272e-05,0.011763186388575347,-4.18638951980551e-08,0.0001383930522884018,-0.01591471480622243,-0.0019112623628022077,1.176247435287662,-6.9459820382350715e-06,1.3528789385910702,0.02,1.1764705882352955,-4.440892098500626e-16
-3.2591541997083704e-09,2.5351552721454897e-10,-4.426212743638152e-16,0.999999996288341,3.007665229475566e-05,6.48031971189856e-07,0.00026465791609042374,0.9999999983185943,3.2864990201595455e-06,0.9996419421389474,0.9999469257379517,0.03528842448441299,-5.064226815615836e-07,3.9655571041381365e-08,-8.792401068300549e-14,-5.884859220388436e-07,0.003628658547585809,9.267879397083765e-05,0.017640930531363924,-2.466565629414951e-07,0.0003113121210267884,-0.023865773705249317,-0.006403195938646183,1.175876518042303,-4.353495974716347e-05,1.3524997630008386,0.03,1.176470588235295,2.220446049250313e-16
-1.4783473711995645e-08,1.2717170351776558e-09,-8.139056674367651e-15,0.9999999812428256,8.911408695796817e-05,2.511503891953581e-06,0.0004704208164991517,0.9999999924921206,7.608887758112384e-06,0.9993635908515169,0.9998427495076831,0.04704387289795465,-1.7984412208972879e-06,1.6398473055137644e-07,-1.4513630693192575e-12,-2.420617160281975e-06,0.008178828385058368,0.0002800155901819762,0.023511649550384414,-9.186381963662972e-07,0.0005531656265638949,-0.03180448378084183,-0.014432050115068344,1.1752131646660269,-0.0001292073504853991,1.351450569227058,0.04,1.1764705882352953,4.440892098500626e-16
-4.505989493878029e-08,4.53483128371016e-09,-6.340420279008444e-14,0.9999999340964896,0.0002040567170090029,7.066653522004023e-06,0.0007348326638497427,0.9999999750112983,1.4692661174675689e-05,0.9990059590474876,0.9996399318000526,0.05879078131658879,-4.256843024460725e-06,4.886381191552675e-07,-9.601666153827691e-12,-7.008650042180269e-06,0.014809697625149559,0.0006310143358281635,0.02937071991973489,-2.577526256643196e-06,0.0008635890567488253,-0.03972187702503903,-0.02613149141104895,1.174168519060802,-0.00024586206939746267,1.3495196983291986,0.05,1.1764705882352957,-6.661338147750939e-16
-1.0381715071871964e-07,1.2885051452561973e-08,-2.7775268316702897e-13,0.9999998183455628,0.00039424043749824967,1.609980624060029e-05,0.0010577560312430357,0.9999999322747415,2.522102944403031e-05,0.9985693028224466,0.9993043673199133,0.07052508065777366,-7.494608131524326e-06,1.1814059146144916e-06,-3.32680299215406e-11,-1.6141535299597166e-05,0.02322704647269735,0.001175616207890931,0.0352139535589215,-5.969785120329172e-06,0.0012420845971219553,-0.04760936798315024,-0.040981404616794975,1.1726913491761728,-0.00032384213253453307,1.3468025540843973,0.06,1.176470588235295,-3.1086244689504383e-15
-1.9184794407500987e-07,3.114399330859133e-08,-7.122060850414907e-13,0.9999995802247196,0.0006744649149983646,3.152315565573554e-05,0.0014390206452193951,0.99999984223385,3.987217083981193e-05,0.9980539478036606,0.9988099659967876,0.08224249475379215,-1.0111550539691875e-05,2.470382456570786e-06,-5.362265045302609e-11,-3.148263335893947e-05,0.032817849027274505,0.0019090536751322123,0.041038969236310216,-1.2038393181450999e-05,0.0016881436820312715,-0.0554616357739602,-0.05789886000819175,1.1707914700275424,-0.0002618580470691099,1.343711438411676,0.07,1.176470588235292,0.0
-2.9160777950912455e-07,6.670782934361537e-08,-6.520062671561096e-13,0.9999991532287477,0.001052350677592375,5.500076803555158e-05,0.001878445122219255,0.9999996727321631,5.931987814008404e-05,0.9974602462245337,0.9981433187186588,0.09393919665505181,-9.840416547130927e-06,4.642384750435115e-06,6.566261403016245e-11,-5.3916561025145194e-05,0.04275930349152928,0.0027864688008311456,0.04684592616366303,-2.1861944192009605e-05,0.002201397778023262,-0.0632786800514302,-0.07543059561758596,1.1685489102243862,2.6753439895935965e-05,1.340830470009836,0.08,1.176470588235292,1.7763568394002505e-15
-3.616048461676057e-07,1.3010729562594218e-07,3.242939721777917e-12,0.9999984689297543,0.0015269767405691442,8.757163164237269e-05,0.0023758614148162147,0.9999993805454839,8.423548707473953e-05,0.9967885214863109,0.9973061024625074,0.10561246745701544,-4.158996784496943e-06,8.03750850607109e-06,7.133265837644374e-10,-8.294323765722491e-05,0.05216590910386227,0.0037277039205368258,0.05263733235575911,-3.657539165076609e-05,0.0027817240089108683,-0.07106626759317557,-0.09201265561282354,1.1661052501683218,0.000567424247573324,1.3387034150749901,0.09,1.1764705882352937,0.0
