position0_particle0,position1_particle0,position2_particle0,position0_particle1,position1_particle1,position2_particle1,position0_particle2,position1_particle2,position2_particle2,position0_particle3,position1_particle3,position2_particle3,momentum0_particle0,momentum1_particle0,momentum2_particle0,momentum0_particle1,momentum1_particle1,momentum2_particle1,momentum0_particle2,momentum1_particle2,momentum2_particle2,momentum0_particle3,momentum1_particle3,momentum2_particle3,lambda0,lambda1,time,hamiltonian
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.176470588235294,0.0,0.0,0.0,1.1764705882352937
7.374791979245626e-08,1.3250118526008767e-11,1.4230626645716231e-16,1.000000073747767,5.528919813508246e-07,3.828355889342305e-09,2.9285654832982928e-05,1.0000000023940423,1.7228324362936323e-07,0.9999600840060113,0.9999990161170946,0.011764461798648323,1.4460748704042827e-05,2.598129341717307e-09,2.7903907853114563e-14,1.4652001625921848e-05,0.00010984704412078501,7.606071212304517e-07,0.005806704180750908,4.7468617454470266e-07,3.4159995286472267e-05,-0.007890491366118163,-0.0001944914505241509,1.1764223383942796,0.0028921512062527045,2.682862013219905,0.01,1.1764704175031764
4.437756572198322e-07,2.5627824102460814e-10,1.2408276958939849e-14,1.0000004437540138,6.578762744491928e-06,1.0135998441773405e-07,0.00011699947728781022,1.0000000335466608,1.0405386363814054e-06,0.9998402069894805,0.9999882193633007,0.023527795987662595,5.718358566851445e-05,4.373399125555995e-08,2.2997305257725086e-12,5.8540698375603867e-05,0.001077500299569756,1.8420377507175883e-05,0.0115969234255781,5.631911274782767e-06,0.00013701940858011543,-0.015826894017184595,-0.0019091156918331794,1.1762500990291072,0.005652436040083463,0.016046782452911714,0.02,1.1764688844671845
1.3991002420765863e-06,2.1008406932268257e-09,1.8711099052554662e-13,1.000001398641512,3.0284212400231975e-05,6.739695504842398e-07,0.0002628702319709324,1.000000193904434,3.301962061295928e-06,0.9996401569662955,0.999945748631759,0.03528836672396528,0.00012862077202249473,3.0587473079059787e-07,3.055977242045515e-11,0.0001306663814285763,0.003601631508944112,9.424043266282289e-05,0.017391696639002804,2.57941115247231e-05,0.0003097354386516196,-0.02383617247671281,-0.006390893327057527,1.175880076507533,0.008635061723365723,2.70874546877899,0.03,1.1764645733477062
3.216517939761156e-06,1.0644855990967045e-08,1.386832592288299e-12,1.0000032125281617,8.93017429213621e-05,2.5799152371146325e-06,0.0004666228785761735,1.0000007081456717,7.654723312680697e-06,0.99935980222986,0.9998402021300106,0.04704370986511653,0.00022804352223978526,1.3325128821224637e-06,1.9790650669474e-10,0.00022984348299931475,0.008099051023855594,0.00028264133385728067,0.02318603938787015,7.556977423568046e-05,0.0005535461247783733,-0.03190906503705689,-0.014395454168041279,1.175215370039857,0.01124953903006535,0.03980156925272952,0.04,1.176455733635114
6.1640134728025344e-06,3.9612099380655143e-08,6.800262474942139e-12,1.0000061432857492,0.0002035185890250214,7.1939601005332e-06,0.0007279205046596792,1.0000019509482145,1.4799356479760993e-05,0.9989990696212033,0.999636201093021,0.05879046667365094,0.00035507100283539456,4.3112216631964174e-06,8.519084058101677e-10,0.0003542241842656917,0.01463481920077635,0.0006342764127170633,0.028947580082839763,0.00017090734235581469,0.0008684979325341456,-0.03999829425550075,-0.02605988793417061,1.174166987659364,0.014155754726223725,2.717739013000225,0.05,1.176439834904414
1.0508129405222672e-05,1.190913760636922e-07,2.5361149151192012e-11,1.0000104313376619,0.00039167776962755727,1.6287517868428687e-05,0.0010463511092495914,1.0000044458498045,2.544263380850513e-05,0.9985579430106447,0.9993001569498687,0.07052457737665382,0.0005090222889228096,1.136783119608166e-05,2.800404654422546e-09,0.0005018740997153812,0.022912246897984722,0.0011788580223919766,0.03466220507171392,0.0003260012367407085,0.001254994722430607,-0.048080953658293506,-0.04088108401424431,1.1726819906120585,0.016633405240693785,0.04240294870255986,0.06,1.1764132186876641
1.6521385769800693e-05,3.0599340841562893e-07,7.792835186278462e-11,1.0000162979196148,0.0006680811136572655,3.17593167075652e-05,0.0014214598906366757,1.0000088345420153,4.0300220994679076e-05,0.9980364688419069,0.9988060394177325,0.08224174313380797,0.0006910767998693576,2.581011195999268e-05,7.645118852527249e-09,0.000670653596018775,0.032324439388443045,0.001912075471398588,0.04032503553775933,0.0005503696515452589,0.0017137266854675766,-0.056147361684844806,-0.05780287940628104,1.1707669528855211,0.019774085221000954,2.718183006791792,0.07,1.1763711889164394
2.4489484496945627e-05,6.962481392068775e-07,2.069684417949896e-10,1.00002394788282,0.0010399980547741365,5.527059370779256e-05,0.0018527847529649056,1.0000158191753434,6.0097531121616526e-05,0.9974347292630392,0.998140051418551,0.09393806758193742,0.000902684999034515,5.2258589172347194e-05,1.816996450710706e-08,0.000859381276254049,0.04206112759485801,0.0027903764643648424,0.04594157623545787,0.0008466434879652975,0.002245890663362765,-0.0642037354284659,-0.07540166992541343,1.168497040386358,0.022539072524697414,0.04547816742488236,0.08,1.1763087277853113
3.471570756025226e-05,1.437214440933602e-06,4.902726445802979e-10,1.0000335794940431,0.0015063304110478446,8.787659742171855e-05,0.002339884859250873,1.0000260880525016,8.556753853180413e-05,0.9967527917675744,0.9973031077717582,0.10561071123674573,0.00114632455111017,9.662018647243856e-05,3.880982168617257e-08,0.0010680156369893422,0.051252689084835344,0.0037356935751522735,0.05151589694216866,0.0012095703227497504,0.002852184294534578,-0.07225696706342097,-0.09213920261462592,1.166009075118276,0.026170512467475593,2.7232414230221726,0.09,1.1762216682107391
