position0_particle0,position1_particle0,position2_particle0,position0_particle1,position1_particle1,position2_particle1,position0_particle2,position1_particle2,position2_particle2,position0_particle3,position1_particle3,position2_particle3,momentum0_particle0,momentum1_particle0,momentum2_particle0,momentum0_particle1,momentum1_particle1,momentum2_particle1,momentum0_particle2,momentum1_particle2,momentum2_particle2,momentum0_particle3,momentum1_particle3,momentum2_particle3,lambda0,lambda1,time,hamiltonian,hamiltonian_difference,dissipated_power,sum
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.176470588235294,0.0,0.0,0.0,1.1764705882352937,2.170442917615034e-06,1.7134547711658817e-07,2.3417883947316224e-06
7.315234661641055e-08,1.282087214324405e-11,1.402969058856864e-16,1.0000000731521956,5.494870119400061e-07,3.805545137577107e-09,2.9337566315882332e-05,1.0000000023588667,1.7258844665500895e-07,0.9999601358756117,0.9999990271180883,0.011764465664668905,1.463046932328211e-05,2.56417442864881e-09,2.805938117713728e-14,1.4630439129645228e-05,0.00010989740238800122,7.611090275154214e-07,0.005867513263176466,4.7177332095912724e-07,3.451768933100179e-05,-0.0079728248776577,-0.00019457638233919832,1.1764225446984868,0.002926093857164504,2.710855577370265,0.01,1.1764727586782113,5.073833218682822e-06,1.5382040188064303e-06,6.612037237489252e-06
4.378422691255351e-07,2.3899992177750764e-10,1.1856409824064288e-14,1.0000004378211842,6.493306476316698e-06,9.981664410563121e-08,0.00011719939897860955,1.0000000325153544,1.0362458885535262e-06,0.9998404059273691,0.9999884970919152,0.023527833637948324,5.830751517854279e-05,4.267163549820391e-08,2.3151632024585826e-12,5.8303358576955204e-05,0.0010788664904873373,1.8441110766095398e-05,0.011704853269368976,5.559524248586916e-06,0.00013821379904870165,-0.015973164770857678,-0.0019114288522760548,1.1762510499573966,0.0058093147305531756,0.009789017508897392,0.02,1.17647783251143,5.393137876952281e-06,4.321206220184275e-06,9.714344097136556e-06
1.3815113765650697e-06,1.942358526278172e-09,1.755073320798048e-13,1.000001381063163,2.993496973652846e-05,6.642348587095386e-07,0.0002632742567889462,1.0000001878314773,3.283561936460791e-06,0.9996405555932472,0.9999469183153142,0.03528850300164382,0.00013042630630936413,2.98000085401929e-07,3.0415021248689517e-11,0.0001303450371662203,0.003609466161555015,9.444253215468605e-05,0.01751011829269835,2.5503700304818573e-05,0.00031124941053275134,-0.023996902053537782,-0.006404326467912682,1.175882822781703,0.00861443388061138,2.7199072261774866,0.03,1.176483225649307,2.250709199014267e-06,8.848790420506342e-06,1.1099499619520609e-05
3.184476277721418e-06,9.942373757589398e-09,1.3092810471368878e-12,1.0000031805491698,8.859715136205385e-05,2.5538985732949865e-06,0.000467224184360708,1.0000006903707561,7.610129195537866e-06,0.9993603872071668,0.9998427122063535,0.04704402059165946,0.0002301666739219055,1.3020029608603163e-06,1.9633972176272707e-10,0.00022955216419834272,0.008122970163550063,0.00028349021076240347,0.023279867221654003,7.500415548395709e-05,0.0005540640412826635,-0.03203677516254185,-0.014436895324249523,1.175220695221425,0.011333567230810537,0.017387631612926058,0.04,1.176485476358506,-5.3840716565112245e-06,1.5908193137009963e-05,1.0524121480498739e-05
6.119557878373493e-06,3.7612526937270056e-08,6.509633683721019e-12,1.0000060990093886,0.00020263525142505544,7.153735548032535e-06,0.0007286721547304368,1.0000019166347125,1.4717285516117537e-05,0.9989997867400446,0.9996397931607993,0.05879099354715246,0.0003568496462085095,4.232027675075815e-06,8.437308055540991e-10,0.0003541398795775229,0.014684649849050253,0.0006364771841851063,0.029009726852291747,0.00017024863581170763,0.0008673672228332707,-0.040083318261889475,-0.02614691378658399,1.1741738958771746,0.014002682051065083,2.7256110096365274,0.05,1.1764800922868495,-1.855090737623577e-05,2.6647073490046613e-05,8.096166113810842e-06
1.0455996260513492e-05,1.1483262051463041e-07,2.4627292351213916e-11,1.00001037946144,0.0003910183265538221,1.6250984824704295e-05,0.0010471994960159717,1.0000043959859997,2.5314440118925617e-05,0.9985587333991665,0.9993039525999522,0.07052530812272062,0.0005104380302194902,1.1211991040396254e-05,2.7798009279444802e-09,0.0005019505306919071,0.022991965176703075,0.001182972671149246,0.034695741404815246,0.00032562162160718175,0.0012520636977283455,-0.04812734991374723,-0.04102119838285055,1.1726890192364563,0.01671377628178917,0.021374443445280063,0.06,1.1764615413794732,-3.786096682167894e-05,4.2114065791063376e-05,4.2530989693844335e-06
1.6467432632620565e-05,2.98696619441983e-07,7.652722892498997e-11,1.0000162439357472,0.000668119992870287,3.175597865968248e-05,0.0014223569469066129,1.0000087775217972,4.0120410457337534e-05,0.9980372822248476,0.9988089135439036,0.08224262061378931,0.0006918492442019245,2.556080874507427e-05,7.600186386810731e-09,0.0006709443307431999,0.03242836808658991,0.001918026095846391,0.040335748773313,0.000550685537901273,0.001709130369954038,-0.05616288495003025,-0.05798661282687504,1.1707734789772821,0.019564990544628652,2.7286971697005735,0.07,1.1764236804126516,-6.29405317733589e-05,6.261959900955657e-05,3.2093276380232413e-07
2.444080177436034e-05,6.861207397256469e-07,2.0499759249267389e-10,1.0000238980095209,0.0010411296151090228,5.5331457367843566e-05,0.0018536863227625398,1.000015770866227,5.986328870095485e-05,0.9974355215454761,0.9981409717891829,0.09393901168169803,0.0009028245841460301,5.192401531165851e-05,1.8093886326726055e-08,0.0008598704239957129,0.04217355636115723,0.0027970696457858255,0.045930126397872396,0.0008479833480634754,0.002239445278769426,-0.06418925092425863,-0.07560173811725245,1.1685047346044624,0.022621623139975972,0.024729620436231125,0.08,1.1763607398808782,-9.209666615372925e-05,8.727867803084584e-05,4.817988122883407e-06
3.4681683225364124e-05,1.4269582764552896e-06,4.887899258203834e-10,1.0000335417983128,0.0015087493684147848,8.802138118080204e-05,0.0023407448929715995,1.0000260711241291,8.527837598458616e-05,0.9967535174517654,0.9973013890299894,0.1056116441781783,0.0011453517060547268,9.624349203427002e-05,3.866458033881584e-08,0.0010688873344198008,0.05135039429999518,0.003740915116805868,0.051481587643939584,0.0012120682323709519,0.0028435721779568354,-0.07221156781786775,-0.09231481372145466,1.1660217646915887,0.025865642638605288,2.7334078240497006,0.09,1.1762686432147245,-0.00012249899755545357,0.00011405296361864615,8.446033936807418e-06
4.7512954290184114e-05,2.7359081572022314e-06,1.0603278807174171e-09,1.0000453854364355,0.0020614095407416183,0.00012997820191362327,0.002883124077331553,1.0000402811927247,0.00011710395400599769,0.995991261975612,0.9963061110155006,0.11725925014101025,0.001420902506909271,0.00016554648411511828,7.564301064059094e-08,0.001299840290121676,0.0591816401653715,0.004650449029758379,0.05699424922805115,0.0016299454867428856,0.0035215434263254682,-0.0802395274128188,-0.10674078917631659,1.163499427874803,0.029209227718821052,0.03145928210091609,0.1,1.176146144217169,-0.00015091710158166016,0.00014035117389788067,1.056592768377949e-05
6.326672795698236e-05,4.90147162023669e-06,2.1253876982235063e-09,1.000059664465377,0.002682956559148121,0.0001803715561061095,0.00348045745820168,1.0000588451889942,0.00015607524975528689,0.9951486398364987,0.9951828734801461,0.12888230007756282,0.0017298522264503776,0.00026756620849177344,1.3736895286062688e-07,0.0015559654981877698,0.06512776351592904,0.00542822180873887,0.06247242694597418,0.002082853767172496,0.004272715723532369,-0.08828490040985548,-0.11790671789457385,1.1611105594357092,0.03251756206808592,2.742265827595475,0.11,1.1759952271155873,-0.00017473817336144393,0.0001639322919402425,1.0805881421201423e-05
8.227260523277117e-05,8.290485864039292e-06,3.982381736392522e-09,1.0000766491676119,0.0033535001642302285,0.00023752414232945833,0.0041324175905027155,1.0000820047949033,0.00020291770359502805,0.9942254231963384,0.9939662341136279,0.1404827722778596,0.0020713232287073845,0.00041023664026874695,2.340298547731762e-07,0.001840974948770018,0.06898095750049246,0.006002295435930896,0.06791959951423296,0.0025490674146306474,0.005095775044415862,-0.09635842762220781,-0.12542115540905685,1.1589838806236445,0.03567118962148565,0.04207334790064717,0.12,1.175820488942226,-0.00019281564452233724,0.00018368503481882377,9.130609703513468e-06
0.00010484640620465809,1.3347304145845043e-05,7.0394478837077645e-09,1.000096642600185,0.00405290004215478,0.0002992701571486099,0.004838703748197362,1.0001097862269095,0.000258341118010662,0.9932212983366979,0.9926914377926457,0.15206352818687163,0.0024434369656699995,0.000601127016092403,3.773833746898721e-07,0.00215771156585361,0.07089901808441779,0.00634690752789942,0.07333763202469643,0.0030072189866209094,0.005988907838710923,-0.10446654430590155,-0.12953810878739638,1.1571673011787598,0.03858561138403927,2.753899272121928,0.13,1.1756276732977036,-0.00020578269107263125,0.0001999355583217134,5.847132750917857e-06
0.00013128228379327713,2.058740047724059e-05,1.1829064781359515e-08,1.0001199649243893,0.004764265524623612,0.0003634792688368766,0.005599022584250468,1.0001420201007216,0.0003230360755577034,0.9921359241172135,0.9913882175258777,0.1636273925827305,0.00284373855205381,0.0008468922501867069,5.805400048404779e-07,0.0025067532750003433,0.07137407840934867,0.006494914809753911,0.07872613518592468,0.003439555775791457,0.006950083670697358,-0.1126082995909892,-0.1311059445662077,1.1556055779930172,0.04122658007028936,0.05368624116385266,0.14,1.175421890606631,-0.0002157517363716721,0.00021420628157746332,1.5454547942087894e-06
0.00016184859156934182,3.0585923668152814e-05,1.902131501820851e-08,1.0001469257221203,0.005476850224371013,0.0004286463338587249,0.006413062191636807,1.0001783907176074,0.00039767319204216974,0.9909690183537092,0.9900756263251306,0.1751761139031834,0.0032695230031591278,0.0011528123879957378,8.579100425293217e-07,0.0028854062711827695,0.0711428615401316,0.006538498194615744,0.08408178629134311,0.0038345676013409147,0.007977339626195911,-0.12077285310988034,-0.13141229558322037,1.1541386860975644,0.04357549594876063,2.7641275644811056,0.15,1.1752061388702593,-0.00022562525651359522,0.00022863519854937937,3.0099420357841483e-06
