timestep_size,error_position,error_momentum,error_multiplier
0.01,3.092117015045031e-05,0.0001365276534039056,0.05898983679271811
0.005,7.80024470944988e-06,2.8677362364815932e-05,0.028478602023382586
0.002,1.2483659283202484e-06,4.3245071565262895e-06,0.010878874963691915
0.001,3.0959323434753194e-07,1.0584566803601619e-06,0.005128173407491931
