timestep_size,error_position,error_momentum,error_multiplier
0.01,3.41072300336845e-05,0.0002378287333048197,0.05398406640152571
0.005,8.665852253624283e-06,5.2659898136116265e-05,0.027000389791693134
0.002,1.3900067897335373e-06,8.101973717514868e-06,0.010625165070146799
0.001,3.451155742900515e-07,1.9993950072507447e-06,0.00506349411216047
