,x,y,z,dx,dy,dz,lambda,time,kinetic_energy,potential_energy,total_energy,constraint,constraint_velocity
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
1,0.9615081294557313,0.19615081294557316,-0.19242394749960726,-0.38491870544268775,0.9615081294557313,-1.9242394749960725,3.924721999999999,0.2,2.3876789249711474,-1.8876789249711472,0.5000000000000002,1.1102230246251565e-16,0.18876789249711487
2,0.6749729823596906,0.32209150955470955,-0.6638286921768545,-2.4804327655177185,0.29789883663563266,-2.7898079717764,21.685277955946734,0.4,7.012159470254945,-6.512159470254943,0.5000000000000018,-1.1102230246251565e-16,0.27368016203126366
3,-0.003668589839364942,0.23120689460898836,-0.9728976890371662,-4.305982956472836,-1.2067449860928445,-0.3008819968267171,32.702871780459,0.6000000000000001,10.0441263294546,-9.5441263294546,0.5,0.0,0.029516523888702517
4,-0.6713912263624577,-0.05938633581991336,-0.7387198956853671,-2.3712434087580916,-1.6991873181961727,2.6426599303447085,24.61766489732528,0.8,7.746842176673447,-7.246842176673452,0.49999999999999556,1.1102230246251565e-16,-0.2592449391668168
5,-0.9056563525768877,-0.3386530757211825,-0.25514832028001083,0.028592146613791763,-1.0934800808165184,2.1930558237088547,5.816870971096771,1.0,3.0030050219469038,-2.5030050219469064,0.49999999999999734,-5.551115123125783e-17,-0.215138776305839
6,-0.8472347813433839,-0.5311958580025703,-0.004917898223980361,0.5556235657212457,-0.8319477419973601,0.30924839685144967,0.1964108455414247,1.2000000000000002,0.5482445815772446,-0.04824458157724734,0.49999999999999734,-5.551115123125783e-17,-0.030337267731126744
7,-0.7173346352226623,-0.6830144174736102,-0.13755844806174214,0.7433778954859711,-0.6862378527130393,-1.6356538952290671,2.2036658500239668,1.4000000000000001,1.8494483754856872,-1.3494483754856905,0.49999999999999667,1.1102230246251565e-16,0.16045764712197208
8,-0.44631467064452157,-0.677246179093504,-0.5849280534140258,1.9668217502954306,0.7439202365140996,-2.8380421582937694,18.824041529524305,1.6,6.238144203991566,-5.738144203991593,0.49999999999997335,-1.1102230246251565e-16,0.2784119357286188
9,0.048072823122664116,-0.28449460732950826,-0.9574715776864846,2.977053187376426,3.183595481125858,-0.8873930844308189,31.91052809781999,1.8,9.892796177104383,-9.392796177104415,0.499999999999968,0.0,0.08705326158266447
10,0.4851085730142419,0.3367135136770054,-0.8070276835991259,1.3933043115393509,3.0284857289392786,2.3918320253044056,27.49697888992993,2.0,8.416941576107396,-7.916941576107425,0.4999999999999707,-1.1102230246251565e-16,-0.234638721682364
