position0_particle0,position1_particle0,position2_particle0,position0_particle1,position1_particle1,position2_particle1,position0_particle2,position1_particle2,position2_particle2,position0_particle3,position1_particle3,position2_particle3,momentum0_particle0,momentum1_particle0,momentum2_particle0,momentum0_particle1,momentum1_particle1,momentum2_particle1,momentum0_particle2,momentum1_particle2,momentum2_particle2,momentum0_particle3,momentum1_particle3,momentum2_particle3,lambda0,lambda1,time,hamiltonian,hamiltonian_difference,constraint_0,constraint_1,constraint_velocity_0,constraint_velocity_1,dissipated_power,sum
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.176470588235294,0.0,0.0,0.0,1.1764705882352937,-1.7134516250294496e-07,0.0,0.0,0.0,0.0,1.713451623116547e-07,1.9129026797832615e-16
7.315224849276559e-08,1.2820838850523295e-11,1.4029647159644493e-16,1.0000000731520975,5.494863207636516e-07,3.8055384898447446e-09,2.9337539338514845e-05,1.0000000023588629,1.7258820205440628e-07,0.999960135917507,0.9999990271195227,0.011764459810445627,1.4630449698555365e-05,2.5641677701050532e-09,2.805929431929316e-14,1.4630419504992946e-05,0.00010989726415273595,7.61107697968988e-07,0.005867507867703361,4.717725575135565e-07,3.451764041088356e-05,-0.00797281649859768,-0.00019457609545418567,1.1764213738538314,0.0014630462038306884,1.3554270386630916,0.01,1.1764704168901312,-1.5381939724168348e-06,-5.551115123125783e-17,-5.551115123125783e-17,3.0193559427720484e-11,-1.3542223033062573e-08,1.5381939711260938e-06,1.2907409922780985e-15
4.3784082610084937e-07,2.3899857641396704e-10,1.1856321105214595e-14,1.0000004378197411,6.493288941650908e-06,9.981624660518923e-08,0.00011719908472249916,1.0000000325152407,1.0362411555451771e-06,0.9998404064151853,0.9999884971300435,0.023527799550784333,5.8307265821705125e-05,4.267137974133808e-08,2.3151456323333093e-12,5.830310924364864e-05,0.001078863260014688,1.8441033924916836e-05,0.011704801209014667,5.559503028969688e-06,0.00013821295028587055,-0.01597308396559094,-0.0019114218003639131,1.1762465742139216,0.004367698743646632,1.3603157031856414,0.02,1.1764688786961588,-4.321140976148996e-06,-1.6653345369377348e-16,0.0,2.850098619567795e-09,-1.789838382903336e-07,4.321140976210928e-06,6.193166097144542e-17
1.3815030439739085e-06,1.9423412170565483e-09,1.7550515742983108e-13,1.0000013810548343,2.9934833788072895e-05,6.642303526466772e-07,0.00026327283070447124,1.0000001878304239,3.283532363238062e-06,0.999640557806481,0.9999469186140348,0.03528839989657695,0.0001304251777532427,2.9799714838836765e-07,3.0414621632720894e-11,0.00013034390937792967,0.003609445709273639,9.444178728349877e-05,0.017509947987391507,2.5503533611994702e-05,0.0003112452912530569,-0.023996637775296065,-0.006404281401363669,1.175873494944601,0.007211852632156729,1.3648309483856491,0.03,1.1764645575551826,-8.848562415897376e-06,-1.1102230246251565e-16,-1.1102230246251565e-16,2.6826582471010853e-08,-5.457061286497089e-07,8.848562416068011e-06,1.706347872243788e-16
3.184446443826809e-06,9.942252556856792e-09,1.3092573380344345e-12,1.0000031805193892,8.859654883631467e-05,2.5538725472023234e-06,0.0004672200499743764,1.0000006903652632,7.6100190278011454e-06,0.9993603936185591,0.9998427135282609,0.04704379652899273,0.00023016350221709587,1.3019851195692444e-06,1.9633581448779747e-10,0.00022954900159782605,0.00812289730037098,0.0002834866516274773,0.023279495866583327,7.500343425991983e-05,0.0005540520416593041,-0.03203619980907219,-0.014436735753396854,1.1752058315385572,0.009973940909406518,1.3686169789192244,0.04,1.1764557089927667,-1.5907616115917733e-05,-1.1102230246251565e-16,0.0,1.056879400725293e-07,-1.0380982750218815e-06,1.590761611628642e-05,3.686863368854848e-16
6.119478536462099e-06,3.761195765131131e-08,6.509474171651012e-12,1.0000060989304298,0.0002026333625702057,7.153635274472501e-06,0.000728662944781801,1.0000019166148517,1.4716984395692096e-05,0.9989998009980203,0.9996397972686178,0.05879059468495398,0.0003568429163106633,4.2319558993378625e-06,8.437075522390994e-10,0.0003541332065441363,0.014684465446419307,0.0006364658938272085,0.02900908309491535,0.00017024648343728625,0.0008673410319196409,-0.04008232429870367,-0.026146516175260332,1.1741537996536888,0.012667992254575856,1.3714554802234917,0.05,1.1764398013766508,-2.6645877305941923e-05,-1.6653345369377348e-16,-5.551115123125783e-17,2.689962470222608e-07,-1.4866799648016737e-06,2.66458773067055e-05,7.635764850272286e-16
1.045582425429161e-05,1.1483062240569075e-07,2.4626521768985152e-11,1.0000103792912594,0.00039101366572692677,1.6250691950694464e-05,0.0010471822908271256,1.000004395930624,2.5313772252084667e-05,0.9985587599586849,0.9993039625905443,0.07052468832066457,0.0005104262272557975,1.1211777051563424e-05,2.7797019672347734e-09,0.0005019389593880563,0.02299159518493499,0.0011829454414178466,0.034694786114158674,0.00032561667100964323,0.0012520165393594862,-0.048125883568397455,-0.04102041943947167,1.1726649274884262,0.015357976013562757,1.3734380001074842,0.06,1.1764131554993449,-4.211191804803782e-05,-2.7755575615628914e-16,0.0,5.14961493870811e-07,-1.7391765387564373e-06,4.2111918047971564e-05,6.625830526602039e-17
1.646711175468231e-05,2.9869103173255636e-07,7.652431480187351e-11,1.0000162436213254,0.0006681103524516803,3.175528068032493e-05,0.0014223286650087983,1.0000087773948914,4.01191384909077e-05,0.9980373256997203,0.9988089338061732,0.08224174966285817,0.0006918312728222398,2.5560304813801626e-05,7.599856639340203e-09,0.0006709270538164937,0.03242774216001401,0.0019179723045081127,0.04033448872217461,0.0005506761824871612,0.0017090567084050046,-0.0561609682245292,-0.057985337434751504,1.1707473409502946,0.018138951836873998,1.3749748277095208,0.07,1.1763710435812968,-6.261617258362939e-05,-3.3306690738754696e-16,-5.551115123125783e-17,7.952459252596978e-07,-1.7323680625291882e-06,6.261617258448589e-05,8.564926112092364e-16
2.4440268713223507e-05,6.861077630264532e-07,2.0498848180404696e-10,1.000023897494641,0.001041112202762341,5.533003459705101e-05,0.0018536441948763342,1.0000157706168589,5.986113441588223e-05,0.9974355859300174,0.9981410074955703,0.09393788068172634,0.0009028001188866538,5.192304144505938e-05,1.8092976761127012e-08,0.000859847609318313,0.0421726279021282,0.002796978478838009,0.04592861725134013,0.0008479682110275815,0.002239342476590614,-0.06418698571606304,-0.07559992468585051,1.1684788628233345,0.021092639047720855,1.3766520123088997,0.08,1.1763084274087132,-8.727375770511969e-05,-3.3306690738754696e-16,-5.551115123125783e-17,1.0257495635585586e-06,-1.5276393622101758e-06,8.72737577050417e-05,7.799479378317598e-17
3.468087608717044e-05,1.4269325255133297e-06,4.887654994055063e-10,1.00003354103396,0.001508721106795055,8.801881843706841e-05,0.0023406869066612645,1.0000260706910185,8.527505450241635e-05,0.9967536054010587,0.9973014453065274,0.10561026710837046,0.0011453213559027755,9.624191105232366e-05,3.866242675916847e-08,0.0010688602545129446,0.05134915290441511,0.0037407782891655276,0.05147992510564634,0.0012120466208856977,0.002843441540716257,-0.07220912007566511,-0.09231251312272357,1.1659984225054876,0.024242686925550785,1.3790128549385225,0.09,1.176221153651008,-0.00011404654589597385,-4.440892098500626e-16,0.0,1.1214535720865514e-06,-1.2448912580023674e-06,0.00011404654589610362,1.297654475193588e-16
